location,price,sector,year
East South Central,10.99,All Sectors,2024
Alabama,11.9,All Sectors,2024
Kentucky,10.07,All Sectors,2024
Mississippi,10.93,All Sectors,2024
Tennessee,10.9,All Sectors,2024
West South Central,9.58,All Sectors,2024
Arkansas,9.59,All Sectors,2024
Louisiana,8.8,All Sectors,2024
Oklahoma,9.09,All Sectors,2024
Texas,9.79,All Sectors,2024
Mountain,11.23,All Sectors,2024
Arizona,12.74,All Sectors,2024
Colorado,12.07,All Sectors,2024
Idaho,9.51,All Sectors,2024
Montana,10.83,All Sectors,2024
Nevada,11.47,All Sectors,2024
New Mexico,9.18,All Sectors,2024
Utah,9.97,All Sectors,2024
Wyoming,9.14,All Sectors,2024
Pacific Contiguous,20.79,All Sectors,2024
California,27.04,All Sectors,2024
Oregon,11.11,All Sectors,2024
Washington,10.13,All Sectors,2024
Pacific Noncontiguous,31.62,All Sectors,2024
Alaska,22.17,All Sectors,2024
Hawaii,38.0,All Sectors,2024
U.S. Total,12.94,All Sectors,2024
New England,22.81,All Sectors,2023
Connecticut,24.24,All Sectors,2023
Maine,20.84,All Sectors,2023
Massachusetts,23.21,All Sectors,2023
New Hampshire,22.96,All Sectors,2023
Rhode Island,21.62,All Sectors,2023
Vermont,17.53,All Sectors,2023
Middle Atlantic,15.4,All Sectors,2023
New Jersey,15.27,All Sectors,2023
New York,18.28,All Sectors,2023
Pennsylvania,12.57,All Sectors,2023
East North Central,11.98,All Sectors,2023
Illinois,11.75,All Sectors,2023
Indiana,11.49,All Sectors,2023
Michigan,13.68,All Sectors,2023
Ohio,11.04,All Sectors,2023
Wisconsin,12.72,All Sectors,2023
West North Central,10.44,All Sectors,2023
Iowa,9.42,All Sectors,2023
Kansas,10.8,All Sectors,2023
Minnesota,12.21,All Sectors,2023
Missouri,10.87,All Sectors,2023
Nebraska,9.14,All Sectors,2023
North Dakota,8.03,All Sectors,2023
South Dakota,10.49,All Sectors,2023
South Atlantic,11.88,All Sectors,2023
Delaware,12.85,All Sectors,2023
District of Columbia,16.5,All Sectors,2023
Florida,13.53,All Sectors,2023
Georgia,11.06,All Sectors,2023
Maryland,14.34,All Sectors,2023
North Carolina,10.61,All Sectors,2023
South Carolina,10.5,All Sectors,2023
Virginia,10.68,All Sectors,2023
West Virginia,10.26,All Sectors,2023
East South Central,10.78,All Sectors,2023
Alabama,11.47,All Sectors,2023
Kentucky,9.96,All Sectors,2023
Mississippi,10.95,All Sectors,2023
Tennessee,10.69,All Sectors,2023
West South Central,9.79,All Sectors,2023
Arkansas,9.73,All Sectors,2023
Louisiana,8.91,All Sectors,2023
Oklahoma,9.3,All Sectors,2023
Texas,10.04,All Sectors,2023
Mountain,11.07,All Sectors,2023
Arizona,12.19,All Sectors,2023
Colorado,11.76,All Sectors,2023
Idaho,9.08,All Sectors,2023
Montana,10.97,All Sectors,2023
Nevada,13.09,All Sectors,2023
New Mexico,9.47,All Sectors,2023
Utah,9.03,All Sectors,2023
Wyoming,8.39,All Sectors,2023
Pacific Contiguous,19.15,All Sectors,2023
California,24.87,All Sectors,2023
Oregon,10.32,All Sectors,2023
Washington,9.58,All Sectors,2023
Pacific Noncontiguous,31.67,All Sectors,2023
Alaska,21.41,All Sectors,2023
Hawaii,38.6,All Sectors,2023
U.S. Total,12.68,All Sectors,2023
