station_name,lat,long,elevation
Front St at California St,37.7930958,-122.3988357,63.0
Buchanan St at North Point St,37.8044325,-122.433523,5.0
Broderick St at Oak St,37.7730627,-122.4390777,60.0
43rd Ave at Lawton St,37.75699964338489,-122.50255097589334,27.0
18th St at Noe St,37.7610471,-122.4326417,32.0
Ashby BART,37.8524766,-122.2702132,34.0
Randall St at Chenery St,37.73983296948461,-122.42574964326916,57.0
San Carlos St at 11th St,37.3364659,-121.8766132,29.0
Balboa Park BART 2,37.72063402240577,-122.4475379192397,70.0
Jack London Square,37.796248,-122.279352,3.0
4th St at San Carlos St,37.33279952386071,-121.88385039567946,24.0
Webster St at Grove St,37.7770527,-122.4295585,47.0
Kearny St at Bush St,37.79096333689464,-122.40419892776804,63.0
Larkin St at California St,37.790588343975,-122.41893285742222,57.0
Spear St at Folsom St,37.7896297,-122.3903352745212,13.0
Ellsworth St at Russell St,37.85760774739988,-122.26160466670989,59.0
Parker Ave at McAllister St,37.77610091264586,-122.4530929327011,107.0
Powell St BART North,37.7861375,-122.405234,31.0
Almaden Blvd at San Fernando St,37.331415,-121.8932,35.0
San Jose City Hall,37.337391,-121.886995,25.0
Cesar Chavez St at Dolores St,37.7478584,-122.4249863,32.0
Shattuck Ave at Telegraph Ave,37.83353887161604,-122.263693665756,32.0
Webster St at Union St,37.7974387,-122.4339891,34.0
Funston Ave at Irving St,37.76393402521409,-122.47065067291258,78.0
Post St at Baker St,37.783973,-122.442878,58.0
Grand Ave at Perkins St,37.80889393398715,-122.25646018981932,11.0
Market St at Dolores St,37.769244,-122.4269645,35.0
Townsend St at 7th St,37.771058,-122.402717,10.0
10th St at Empire St,37.349426308788,-121.8876188993454,15.0
65th St at Hollis St,37.8467842,-122.2913761,7.0
College Ave at Taft Ave,37.8417999,-122.2515349,55.0
Potrero del Sol Park,37.75179164525661,-122.40521550178528,10.0
San Fernando St at 4th St,37.335885,-121.88566,25.0
SFSU Park East,37.725603,-122.476561,48.0
4th St at Gene Friend Way,37.768872,-122.3911087,0.0
Howard St at 8th St,37.7765126,-122.4113061,10.0
Almaden Blvd at Balbach St,37.32684573958832,-121.8892014740702,22.0
Doyle St at 59th St,37.8419238,-122.2880451,6.0
Jackson St at Sansome St,37.79672497398881,-122.4016581884798,19.0
Green St at Van Ness Ave,37.79762790889688,-122.423534989357,46.0
13th St at Webster St,37.802688402040665,-122.26914636790752,15.0
Webster St at 19th St,37.80696976095594,-122.26658821105956,11.0
8th St at Hooper St,37.77,-122.4,1.0
Bond St at High St,37.77415256430236,-122.21239820122716,11.0
SAP Center,37.332692,-121.900084,32.0
Greenwich St at Webster St,37.799207926286,-122.43412166833876,17.0
Raimondi Park,37.81493053721438,-122.292953407218,1.0
Telegraph Ave at 58th St,37.8444927,-122.261351,41.0
Golden Gate Ave at Franklin St,37.780805727779445,-122.42190607010215,26.0
8th St at Brannan St,37.771431362921085,-122.40578681230544,10.0
Vincente St at Great Hwy,37.7380013,-122.5062969,7.0
Adeline St at 40th St,37.8312769,-122.2782669,17.0
20th St at Dolores St,37.75823842417928,-122.4260938167572,55.0
32nd St at Adeline St,37.8238474,-122.2811926,7.0
Lombard St at Columbus Ave,37.8027671,-122.4132756,11.0
45th Ave at Noriega St,37.752809,-122.504261,12.0
Eucalyptus Dr at 20th Ave,37.731085,-122.476163,57.0
Raymond Bernal Jr Memorial Park,37.356834352780886,-121.89593575894833,15.0
Market St at 40th St,37.8305452,-122.2739367,17.0
Anza St at Collins St,37.78068,-122.450012,96.0
Telegraph Ave at Ashby Ave,37.8559558,-122.2597949,58.0
Fillmore St at Jefferson St,37.805376,-122.437261,6.0
Heron's Head Park,37.740321776391326,-122.3767840862274,3.0
Bryant St at 2nd St,37.783176,-122.393378,20.0
34th Ave at Balboa St,37.775681,-122.494064,63.0
Dover St at 57th St,37.8426295,-122.267738,28.0
Delano Ave at Oneida Ave,37.72238229348268,-122.44380980730055,60.0
Oakdale Ave at Phelps St,37.7370395,-122.3944985,22.0
Jefferson St at 14th St,37.805207,-122.275156,15.0
Franklin St at 9th St,37.8005161,-122.2720799,21.0
Horton St at 40th St,37.8297046,-122.2876102,4.0
McKinnon Ave at 3rd St,37.73629587217104,-122.3899698257446,12.0
Delmas Ave and San Fernando St,37.3302641,-121.8977018,15.0
Harrison St at 14th St,37.7688065330825,-122.41349816322328,5.0
Saint Joseph's Ave at Geary Blvd,37.782574,-122.442203,79.0
The Embarcadero at Bryant St,37.787332,-122.3881105,5.0
Madison St at 17th St,37.8040367840236,-122.26240932941435,12.0
Buchanan St at Lombard St,37.800494,-122.432759,14.0
Victoria Manalo Draves Park,37.77769630108636,-122.4063011840376,6.0
Davis St at Jackson St,37.79728,-122.398436,15.0
Scott St at California St,37.788048,-122.438812,60.0
Berryessa BART,37.36508806048156,-121.87161205351002,25.0
Powell St at Green St,37.79914436024966,-122.41068881253082,45.0
Divisadero St at Clay St,37.7895875,-122.440683,83.0
Ryland Park,37.342725,-121.895617,25.0
San Salvador St at 9th St,37.333955,-121.877349,29.0
Stockton Ave at Lenzen Ave,37.33677476275722,-121.90914899110793,22.0
Minnesota St Depot (Outgoing),37.75485605594327,-122.38973379135132,6.0
Washington St at 8th St,37.8007544,-122.2748943,12.0
11th St at Natoma St,37.7735069,-122.4160402,16.0
Laurel St at California St,37.7866115,-122.4500525,84.0
Locust St at Grant St,37.3229796,-121.8879312,28.0
Saint James Park,37.339301,-121.889937,26.0
Hubbell St at 16th St,37.766594,-122.398198,5.0
San Francisco Caltrain Station - 4th St,37.776454678641656,-122.3943768096982,2.0
George St at 1st St,37.34759257443888,-121.89966201782228,23.0
Cambon Dr at Castelo Ave,37.71768610064344,-122.4743177900502,59.0
San Francisco City Hall,37.7788325,-122.4181591,27.0
Junipero Serra Blvd at Ocean Ave,37.731399849565626,-122.47220239061086,81.0
